Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-04 22:48:00+00;1;15407AMK-03;28;-27.73;1.1;352.1;0.31;1.99;0;759.57;100;-27.73;0.63;0.5;1.4352;314.4
2018-01-04 23:33:00+00;1;15407AMK-03;28;-27.66;1.19;2.07;0.48;1.89;0.07;759.62;100;-27.66;0.64;0.5;1.4349;314.44
2018-01-05 00:18:00+00;1;15407AMK-03;28;-27.53;1.06;356.6;0.37;1.86;0.1;759.82;100;-27.53;0.64;0.51;1.4345;314.53
2018-01-05 01:04:00+00;1;15407AMK-03;28;-27.15;1.04;27.28;0.4;1.76;0.19;759.8;100;-27.15;0.67;0.53;1.4323;314.77
2018-01-05 01:49:00+00;1;15407AMK-03;28;-27.33;1.48;41.45;0.88;2.1;0.22;759.88;100;-27.33;0.65;0.52;1.4334;314.66
2018-01-05 02:35:00+00;1;15407AMK-03;28;-27.84;1.38;8.54;0.31;2.41;0.26;759.85;100;-27.84;0.62;0.5;1.4364;314.33
2018-01-05 03:20:00+00;1;15407AMK-03;28;-27.39;1.18;20.47;0.49;2.18;0.02;760.03;100;-27.39;0.65;0.52;1.4341;314.61
2018-01-05 04:06:00+00;1;15407AMK-03;28;-27.22;1.58;2.37;0.03;2.89;-0.02;759.84;100;-27.22;0.66;0.53;1.4327;314.73
2018-01-05 04:51:00+00;1;15407AMK-03;28;-26.6;1.12;337.32;0.23;2.58;0;759.76;93.51;-27.33;0.65;0.52;1.429;315.12
2018-01-05 05:37:00+00;1;15407AMK-03;28;-26.06;1.38;354.51;0.03;2.78;0.08;759.66;84.99;-27.83;0.63;0.5;1.4257;315.47
2018-01-05 06:22:00+00;1;15407AMK-03;28;-24.84;0.72;7.09;0.05;1.43;0.22;759.7;83.87;-26.78;0.69;0.55;1.4187;316.25
2018-01-05 07:08:00+00;1;15407AMK-03;28;-24.39;0.84;335.28;0.09;1.96;0.19;759.43;78.41;-27.07;0.67;0.53;1.4157;316.53
2018-01-05 07:53:00+00;1;15407AMK-03;28;-23.43;1.66;3.92;0.69;2.5;-0.02;759.45;75.46;-26.55;0.7;0.56;1.4102;317.15
2018-01-05 08:39:00+00;1;15407AMK-03;28;-22.55;0.95;346.34;0.15;2.29;0.36;759.31;83.31;-24.6;0.84;0.67;1.405;317.71
2018-01-05 09:24:00+00;1;15407AMK-03;28;-22.64;1.08;358.1;0.04;2.42;0.44;759.37;88.43;-24.02;0.88;0.7;1.4055;317.66
2018-01-05 10:10:00+00;1;15407AMK-03;28;-22.78;2.36;1.01;0.09;5.07;0.13;759.52;100;-22.78;0.99;0.78;1.4065;317.57
2018-01-05 10:55:00+00;1;15407AMK-03;28;-22.77;3.39;5.62;1.32;5.3;0.2;759.45;100;-22.77;0.99;0.78;1.4064;317.58
2018-01-05 11:41:00+00;1;15407AMK-03;28;-22.7;2.39;5.33;0.97;4.31;0.1;759.45;100;-22.7;0.99;0.79;1.406;317.62
2018-01-05 12:26:00+00;1;15407AMK-03;28;-22.5;2.15;5;0.59;3.82;0.09;759.49;100;-22.5;1.01;0.8;1.4049;317.75
2018-01-05 13:12:00+00;1;15407AMK-03;28;-22.34;1.31;16.04;0.52;2.64;0.31;759.39;100;-22.34;1.03;0.81;1.4038;317.85
2018-01-05 13:57:00+00;1;15407AMK-03;28;-22.28;2.08;10.88;0.93;3.39;-0.06;759.16;100;-22.28;1.03;0.82;1.4031;317.89
2018-01-05 14:43:00+00;1;15407AMK-03;28;-21.93;2.64;15.76;0.86;5.02;0.21;758.8;100;-21.93;1.06;0.84;1.4004;318.11
2018-01-05 15:28:00+00;1;15407AMK-03;28;-22.18;2.44;5.05;0.8;4.34;0.06;758.65;100;-22.18;1.04;0.83;1.4016;317.95
2018-01-05 16:14:00+00;1;15407AMK-03;28;-22.07;1.91;6.75;0.11;4.21;0.23;758.56;100;-22.07;1.05;0.83;1.4007;318.03
2018-01-05 16:59:00+00;1;15407AMK-03;28;-21.01;3.32;7.44;1.2;5.65;0.12;758.29;100;-21.01;1.15;0.92;1.3943;318.7
2018-01-05 17:45:00+00;1;15407AMK-03;28;-20.64;2.39;35.22;1.28;3.59;0.01;758.27;100;-20.64;1.19;0.94;1.3922;318.93
2018-01-05 18:30:00+00;1;15407AMK-03;28;-20.59;1.79;34.69;0.68;4.1;0.19;757.96;100;-20.59;1.19;0.95;1.3914;318.97
2018-01-05 19:16:00+00;1;15407AMK-03;28;-20.96;2.36;43.82;1.41;3.83;0.04;757.91;100;-20.96;1.16;0.92;1.3933;318.73
2018-01-05 20:01:00+00;1;15407AMK-03;28;-21.04;2.83;23.18;1.59;4.94;0.09;757.84;100;-21.04;1.15;0.91;1.3937;318.68
2018-01-05 20:47:00+00;1;15407AMK-03;28;-20.9;1.58;31.75;0.96;2.21;-0.07;757.9;100;-20.9;1.16;0.92;1.393;318.77
2018-01-05 21:32:00+00;1;15407AMK-03;28;-20.58;2.59;33.89;1.55;3.96;0.08;757.87;100;-20.58;1.2;0.95;1.3911;318.98
2018-01-05 22:18:00+00;1;15407AMK-03;28;-20.41;1.82;19.49;0.71;3.47;0.02;757.86;100;-20.41;1.21;0.96;1.3901;319.09
2018-01-05 23:03:00+00;1;15407AMK-03;28;-20.27;2.56;6.44;0.59;5.42;0.15;757.85;100;-20.27;1.23;0.98;1.3894;319.17
2018-01-05 23:49:00+00;1;15407AMK-03;28;-19.73;2.19;6.06;1.2;3.28;0.09;757.89;100;-19.73;1.29;1.02;1.3865;319.52
2018-01-06 00:34:00+00;1;15407AMK-03;28;-19.63;2.69;24.43;1.46;4.68;0.07;757.9;100;-19.63;1.3;1.03;1.386;319.58
2018-01-06 01:20:00+00;1;15407AMK-03;28;-19.65;1.42;17.64;0.35;2.48;0.25;757.87;100;-19.65;1.3;1.03;1.386;319.57
2018-01-06 02:05:00+00;1;15407AMK-03;28;-19.43;3.08;20.69;1.52;4.39;-0.26;757.66;100;-19.43;1.32;1.05;1.3844;319.71
2018-01-06 02:51:00+00;1;15407AMK-03;28;-19.25;3.44;15.94;0.73;7.45;0.55;757.52;100;-19.25;1.34;1.07;1.3832;319.82
2018-01-06 03:36:00+00;1;15407AMK-03;28;-19.07;3.08;25.08;1.04;5.18;0.25;757.44;100;-19.07;1.36;1.08;1.382;319.93
2018-01-06 04:22:00+00;1;15407AMK-03;28;-19.1;3.72;12.94;0.76;7.76;-0.51;757.31;100;-19.1;1.36;1.08;1.3819;319.92
2018-01-06 05:07:00+00;1;15407AMK-03;28;-18.96;3.32;18.44;0.19;5.61;0.49;757.09;100;-18.96;1.37;1.09;1.3808;320
2018-01-06 05:52:00+00;1;15407AMK-03;28;-18.89;2.95;18.92;0.73;4.65;0.29;756.99;100;-18.89;1.38;1.1;1.3802;320.05
2018-01-06 06:38:00+00;1;15407AMK-03;28;-18.95;3.03;17.34;0.98;5.17;0.01;756.93;98.12;-19.17;1.35;1.07;1.3804;320.01
2018-01-06 07:23:00+00;1;15407AMK-03;28;-18.92;3.65;15.38;1.81;6.47;-0.5;756.79;100;-18.92;1.38;1.1;1.38;320.03
